geneset	symbol
c2_cp_BIOCARTA_BCELLSURVIVAL_PATHWAY	CASP7, ITGA1, BIRC5, XIAP, AKT1, CASP3, JUND, MTOR, CCT4, DPF2, PIK3CA, ITGB1, ZBTB7A, FOS, PIK3CG, PIK3R1
c2_cp_BIOCARTA_BCR_PATHWAY	JUN, HRAS, CALM2, MAPK8, NFATC4, RAF1, LOC124827, MAPK14, PRKCB, SHC1, ELK1, PRKCA, CALM1, NFATC3, PPP3CC, SYK, LOC147908, CYCSP35, BTK, BLNK, MAP3K1, MAP2K1, VAV1, CD79A, PPP3CB, CD79B, PPP3CA, PLCG1, GRB2, MAPK3, CALM3, NFATC2, FOS, NFATC1, LYN, RAC1, SOS1
c2_cp_BIOCARTA_BIOPEPTIDES_PATHWAY	HRAS, F2, CALM2, MAPK8, STAT3, RAF1, LOC124827, STAT4, PRKCB, MAPK14, STAT1, SHC1, PRKCA, STAT2, CALM1, KNG1, GNA11, GNAI1, GNGT1, MYLK, LOC147908, CYCSP35, MAP2K2, CAMK2A, MAPT, CAMK2B, CAMK2D, MAP2K1, CAMK2G, JAK2, CDK5, GNB1, PLCG1, AGT, GRB2, AGTR2, STAT5B, MAPK3, STAT5A, FYN, CALM3, PTK2B, STAT6, SOS1, MAPK1
c2_cp_BIOCARTA_BLYMPHOCYTE_PATHWAY	CD40, CD80, ITGB2, CR1, ITGAL, PTPRC, HLA-DRB1, CR2, HLA-DRA, ICAM1, FCGR2B
c2_cp_BIOCARTA_CACAM_PATHWAY	CAMK1G, CAMK4, CALM2, CAMK2A, LOC124827, CAMK2B, CAMK2D, CAMK2G, CALM1, CREB1, CALM3, CAMK1, CAMKK1, CAMKK2, LOC147908, CYCSP35
c2_cp_BIOCARTA_CALCINEURIN_PATHWAY	CALM2, NFATC4, LOC124827, PRKCB, PRKCA, CALM1, NFATC3, GNAQ, SP1, CDKN1A, PPP3CB, PPP3CC, PPP3CA, MARCKS, PLCG1, SP3, CALM3, NFATC2, NFATC1, LOC147908, CYCSP35
c2_cp_BIOCARTA_CARDIACEGF_PATHWAY	JUN, EDNRB, HRAS, PRKCB, EGFR, PRKCA, RELA, ADAM12, EGF, EDN1, EDNRA, AGT, PLCG1, RHOA, AGTR1, FOS, NFKB1, MYC
c2_cp_BIOCARTA_CARM_ER_PATHWAY	MEF2C, PELP1, PPARGC1A, EP300, ERCC3, ESR1, HDAC3, NR0B1, NRIP1, HDAC8, HDAC5, SPEN, HDAC11, SRA1, GRIP1, TBP, CREBBP, HDAC6, GTF2A1, CCND1, HDAC7, NCOR2, HIST2H3C, BRCA1, HDAC9, HDAC4, MED1, CARM1, GTF2F1, GTF2E1, HDAC1, POLR2A, HDAC2, PHB2, HDAC10
c2_cp_BIOCARTA_CARM1_PATHWAY	EP300, PRKAR2B, PRKACB, RARA, PRKACG, CREB1, RXRA, NCOA3, CARM1, PRKAR1A, CREBBP, PRKAR2A, PRKAR1B
c2_cp_BIOCARTA_CASPASE_PATHWAY	CASP10, CASP9, CASP8, CASP7, BIRC2, APAF1, CASP4, BIRC3, XIAP, CASP6, CASP1, LMNA, CASP3, LMNB1, CASP2, PRF1, DFFA, CYCS, DFFB, GZMB, ARHGDIB, LMNB2, PARP1
c2_cp_BIOCARTA_CBL_PATHWAY	CSF1R, SRC, PDGFRA, PRKCB, EGFR, PRKCA, SH3GLB1, CBL, EGF, SH3KBP1, GRB2, MET, SH3GLB2
c2_cp_BIOCARTA_CCR3_PATHWAY	NOX1, HRAS, PTK2, PPP1R12B, PLCB1, RAF1, PRKCB, PRKCA, MAP2K1, GNAQ, GNAS, CFL1, CCR3, LIMK1, MYL2, GNGT1, GNB1, RHOA, CCL11, MAPK3, PIK3C2G, ROCK2, MAPK1
c2_cp_BIOCARTA_CCR5_PATHWAY	JUN, CALM2, MAPK8, LOC124827, PRKCB, MAPK14, PRKCA, CALM1, GNAQ, CCL2, CXCL12, CCL4, CCR5, PLCG1, CALM3, CXCR4, PTK2B, FOS, LOC147908, CYCSP35
c2_cp_BIOCARTA_CD40_PATHWAY	CD40LG, CD40, IKBKG, CHUK, IKBKAP, MAP3K1, RELA, IKBKB, DUSP1, TRAF6, TRAF3, TNFAIP3, MAP3K14, NFKB1, NFKBIA
c2_cp_BIOCARTA_CDC42RAC_PATHWAY	WASL, PDGFRA, PAK1, ARPC4, PIK3CA, ARPC5, ARPC1A, ACTR2, RHOA, ACTR3, ARPC1B, ARPC3, ARPC2, RAC1, PIK3R1, CDC42
c2_cp_BIOCARTA_CDK5_PATHWAY	CDK5, HRAS, CDK5R1, MAP2K2, EGR1, RAF1, NGF, MAP2K1, MAPK3, NGFR, MAPK1
c2_cp_BIOCARTA_CDMAC_PATHWAY	JUN, HRAS, PLCB1, RAF1, PRKCB, PRKCA, RELA, MAP2K1, TNF, CUZD1, MAPK3, NFKB1, FOS, NFKBIA, MYC, MAPK1
c2_cp_BIOCARTA_CELL2CELL_PATHWAY	CSK, PTK2, SRC, PECAM1, VCL, BCAR1, CTNNA2, CTNNB1, CTNNA3, ACTN1, CTNNA1, PXN, ACTN2, ACTN3
c2_cp_BIOCARTA_CELLCYCLE_PATHWAY	CCND1, E2F1, TFDP1, CDK2, CDKN2A, CDK4, RB1, CDKN1B, CDKN1A, CDK1, CDKN2D, CCNA1, CDKN2B, CDK6, CDKN2C, CDK7, CDC25A, RBL1, CCND2, CCNB1, CCNE1, CCNH, CCND3
