geneset	symbol
c2_cp_PID_IL8_CXCR2_PATHWAY	PIK3R6, FGR, RAB7A, AKT1, CXCR2, PRKCB, PLD2, ARRB1, PLCB1, HCK, GNB1, PRKCA, IL8, RAC2, PLCB2, PIK3CG, PPP2CA, ARRB2, PDPK1, LYN, ELMO1, GNG2, DOCK2, GNAI2, RAB5A, CBL, GNA14, GNA15, PLCB3, DNM1, PPP2R1A, VASP, RAB11A, PRKCG
c2_cp_PID_ILK_PATHWAY	PPP1R14A, RAC1, RUVBL2, ZEB1, TACC3, PPP1R14B, CDC42, ELMO2, RHOG, PARP1, NACA, LIMS2, GSK3B, LIMS1, ZYX, XPO1, GIT2, RICTOR, PPP1R12A, PARVG, ILK, ARHGEF6, MYL9, PARVA, CDC37, AURKA, HSP90AA1, CCND1, TNS1, CREB1, ILKAP, PARVB, RUVBL1, ACTN1, JUN, PPP1R14C, CTNNB1, SNAI1, AKT1, ARHGEF7, NCK2, PXN, IQGAP1, CKAP5, DIAPH1
c2_cp_PID_INSULIN_GLUCOSE_PATHWAY	TRIP10, YWHAE, PRKCZ, YWHAQ, YWHAG, GSK3B, AKT1, YWHAB, INSR, STXBP4, STX4, ASIP, YWHAH, SLC2A4, INS, PPP1R3A, RHOQ, YWHAZ, PPP1CC, LNPEP, TBC1D4, GYS1, VAMP2, SFN, AKT2, PRKCI
c2_cp_PID_INSULIN_PATHWAY	PARD6A, EXOC6, GRB10, PRKCI, INPP5D, EXOC5, EXOC3, EXOC1, RASA1, SHC1, EXOC7, SH2B2, CBL, SORBS1, PDPK1, INS, AKT2, EIF4EBP1, NCK2, TRIP10, SOS1, HRAS, RAPGEF1, INSR, NCK1, PTPN1, EXOC2, IRS1, PIK3R1, PTPN11, DOK1, FOXO3, EXOC4, CAV1, GRB2, AKT1, SGK1, GRB14, RPS6KB1, F2RL2, CRK, PRKCZ, RHOQ, PTPRA, PIK3CA
c2_cp_PID_INTEGRIN_A4B1_PATHWAY	THBS2, PXN, IGSF8, MYH2, PTK2, AMICA1, RAC1, ITGA4, PRKAR1B, FN1, SRC, BCAR1, PRKACA, PTK2B, ITGB1, PTPRA, ABI1, DOCK1, TLN1, JAM2, CD14, ADAM28, GIT1, PRKACB, CD81, CRK, VCAM1, THBS1, PRKAR1A, YWHAZ, SPP1, ARF6, MDK
c2_cp_PID_INTEGRIN_A9B1_PATHWAY	RAC1, NOS2, ITGB1, ADAM8, VEGFA, BCAR1, SRC, ITGA9, F13A1, FIGF, VEGFC, KCNJ15, TNC, SAT1, PXN, PAOX, FN1, SPP1, TGM2, ADAM2, ADAM12, VCAM1, CSF2RA, ADAM15, CSF2
c2_cp_PID_INTEGRIN_CS_PATHWAY	ITGA2B, ITGA7, ITGA3, ITGA8, ITGA5, ITGB1, ITGAE, ITGAL, ITGAM, ITGB5, ITGB8, ITGA11, ITGB4, ITGA4, ITGA6, ITGA2, ITGA10, ITGAD, ITGA1, ITGB2, ITGB3, ITGAV, ITGB6, ITGB7, ITGA9, ITGAX
c2_cp_PID_INTEGRIN1_PATHWAY	ITGA3, ITGA9, COL4A4, IGSF8, COL5A1, COL11A1, ITGA7, CD81, NID1, VTN, TGFBI, PLAU, LAMB1, COL4A1, ITGB1, COL7A1, LAMA4, LAMA1, ITGA5, COL6A2, THBS2, PLAUR, COL2A1, COL4A5, ITGA10, COL1A1, LAMA2, COL5A2, SPP1, COL18A1, LAMC1, ITGA4, COL4A3, VCAM1, CD14, COL3A1, THBS1, ITGA11, COL1A2, LAMC2, LAMA3, CSPG4, FGA, COL6A1, LAMB3, FBN1, MDK, FN1, ITGA1, VEGFA, ITGAV, COL4A6, LAMA5, FGB, COL6A3, TGM2, F13A1, ITGA2, LAMB2, JAM2, FGG, ITGA6, COL11A2, TNC, ITGA8, NPNT
c2_cp_PID_INTEGRIN2_PATHWAY	F11R, C3, CYR61, TGFBI, FCGR2A, THY1, ITGAD, PLAUR, KNG1, ICAM1, ITGB2, FGB, FGA, ITGAX, CD40LG, ICAM4, GP1BA, ITGAM, FGG, ICAM3, PROC, F10, VCAM1, JAM3, PLAT, ICAM2, PLAU, SPON2, ITGAL
c2_cp_PID_INTEGRIN3_PATHWAY	COL4A5, VEGFA, LAMB1, L1CAM, ITGA2B, CYR61, COL4A6, FGG, LAMA4, COL4A1, EDIL3, F11R, IBSP, PDGFB, FBN1, PDGFRB, FGB, FN1, COL4A3, SPHK1, TGFBR2, ITGB3, SPP1, COL1A1, COL1A2, LAMC1, TGFBI, TNC, PECAM1, PLAUR, VTN, PLAU, KDR, ITGAV, COL4A4, CD47, HMGB1, FGA, THY1, THBS1, SDC4, PVR, SDC1
c2_cp_PID_INTEGRIN4_PATHWAY	LAMB1, LAMB3, ITGA6, LAMC2, LAMC1, LAMA2, ITGB4, LAMA3, LAMB2, LAMA1, LAMA5
c2_cp_PID_INTEGRIN5_PATHWAY	ITGB5, ITGAV, TGFBR1, MADCAM1, ITGA4, ITGB7, PLAU, SDC1, ITGB6, FN1, CYR61, VCAM1, VTN, EDIL3, FBN1, PLAUR, ITGB8
c2_cp_PID_KIT_PATHWAY	MAPK3, PIK3C2B, HRAS, PTPN11, MAPK8, GRB10, BCL2, VAV1, PIK3R1, SOCS1, RPS6KB1, EPO, RAF1, GRAP2, AKT1, FOXO3, SHC1, TEC, JAK2, CBL, SPRED1, KIT, MAP4K1, PTEN, GAB1, GRB2, CREBBP, CRKL, SH2B2, GSK3B, EPOR, PIK3CA, SH2B3, STAT5A, LYN, PTPRO, PTPN6, FER, KITLG, MAP2K2, MAP2K1, PDPK1, SNAI2, SOS1, BAD, SPRED2, STAT3, DOK1, STAP1, MITF, MATK, STAT1
c2_cp_PID_LIS1_PATHWAY	IQGAP1, CDC42, CSNK2A1, VLDLR, LRPAP1, NUDC, PAFAH1B2, CDK5, CDK5R2, ABL1, RAC1, YWHAE, CDK5R1, PLA2G7, CLIP1, LRP8, DAB1, DCX, MAP1B, PPP2R5D, NDEL1, RELN, PAFAH1B3, DYNC1H1, KATNA1, DYNLT1, PAFAH1B1, RHOA
c2_cp_PID_LKB1_PATHWAY	MLST8, BRSK1, PRKAG1, YWHAQ, STRADA, MARK2, MARK4, MST4, CREB1, SIK1, MAPT, ESR1, YWHAE, CRTC2, SMAD4, HSP90AA1, TSC2, CAB39, SFN, CDC37, PRKACA, STRADB, CTSD, YWHAB, MTOR, PRKAB1, RPTOR, STK11IP, EZR, PRKAA1, SIK3, AKT1S1, YWHAG, TP53, PSEN2, MYC, PRKAA2, STK11, SIK2, GSK3B, YWHAZ, ETV4, SMARCD3, BRSK2, YWHAH, TSC1, MAP2
c2_cp_PID_LPA4_PATHWAY	LPAR4, PRKACA, ADCY1, RPS6KA5, ADCY3, PRKCE, ADCY8, ADCY4, CREB1, ADCY7, GNAL, ADCY2, ADCY6, ADCY9, ADCY5
c2_cp_PID_LYMPH_ANGIOGENESIS_PATHWAY	MAPK1, ITGA5, VEGFC, MAPK3, MAPK11, ITGA1, CRK, PIK3R1, COL1A2, FLT4, COL1A1, SHC1, ITGB1, MAP2K4, PIK3CA, MAPK14, ITGA4, CREB1, ITGA2, SOS1, FIGF, GRB2, AKT1, FN1, RPS6KA1
c2_cp_PID_LYSOPHOSPHOLIPID_PATHWAY	BCAR1, PLCB3, GNAI3, GSK3B, RELA, PTK2, ADCY1, LYN, ADCY7, PLD2, GNA12, GNAO1, HRAS, ADCY4, ADCY2, NFKBIA, NFKB1, ADCY8, EGFR, LPAR3, LPAR1, MAGI3, LPAR4, ADRA1B, GNB1, CRK, PRKCD, IL6, AKT1, PLCG1, TIAM1, ARHGEF1, GNA14, GNA11, LPAR2, ADCY9, RHOA, MMP9, GNAZ, PIK3CB, MMP2, PIK3R1, GNAI1, PTK2B, PRKCE, PXN, PRKD1, FOS, IL8, GAB1, ADCY6, JUN, RAC1, GNAI2, ADCY5, GNA13, GNAQ, MAPT, ADCY3, HBEGF, CASP3, GNA15, SRC, GNG2, TRIP6, SLC9A3R2
c2_cp_PID_MAPK_TRK_PATHWAY	MAPK1, RIT2, RUSC1, NRAS, MAP3K2, MEF2C, CDK5, TRPV1, RAP1B, MAP2K1, FOS, BRAF, NTF3, MAP2K6, MAP2K5, KRAS, ELK1, MAPK7, PRKCD, RPS6KA1, EHD4, SRF, HRAS, MAPK14, MAP2K3, MAPKAPK2, MAPK3, RAP1A, EGR1, RAF1, RPS6KA5, RIT1, CDK5R1, CREB1
c2_cp_PID_MET_PATHWAY	CDH1, NCK1, HRAS, MAPK1, RANBP9, MAP2K1, CBL, PAK4, PLCG1, PTPN1, MUC20, RANBP10, PAK2, GRB2, MAP3K1, PDPK1, DEPTOR, MAP2K4, EGR1, PIK3R1, ARHGEF4, PRKCI, EPS15, PAK1, PTPN11, RAB5A, CRK, CDC42, RHOA, BAD, MLST8, JUN, NUMB, MTOR, HGF, SHC1, AKT2, AKT1, PTK2, KPNB1, SRC, EIF4E, NCK2, INPPL1, MAPK3, ARF6, SH3GL2, RAPGEF1, CTNNB1, MAPK8, CRKL, INPP5D, MAP2K2, RAP1A, GAB2, PIK3CA, RAC1, RAP1B, WASL, APC, PTPN2, PTPRJ, SOS1, PRKCZ, MET, RPTOR, SNAI1, BCAR1, AKT1S1, HGS, RIN2, CTNNA1, F2RL2, EIF4EBP1, RAF1, GAB1, ETS1, PXN, SH3KBP1, PARD6A
c2_cp_PID_MTOR_4PATHWAY	AKT1S1, KRAS, FBXW11, RRAGA, CLIP1, DEPTOR, CCNE1, PML, RPS6KB1, PXN, MAPK1, MAPKAP1, YWHAG, EEF2K, PLD2, MAP2K2, POLDIP3, ULK1, BRAF, PPARGC1A, EIF4B, ATG13, TSC2, YWHAZ, PDCD4, YWHAQ, EIF4EBP1, SSPO, SGK1, EIF4E, HRAS, PRKCA, BNIP3, ULK2, RPS6KA1, YY1, PRR5, RAC1, YWHAH, MAPK3, CYCS, PDPK1, RAF1, EIF4A1, SREBF1, RRAGD, TSC1, RHOA, IKBKB, RPTOR, MAP2K1, RICTOR, CDK2, RHEB, MLST8, RRAGC, NRAS, DDIT4, SFN, RRN3, RRAGB, MTOR, PLD1, RB1CC1, EEF2, AKT1, YWHAE, IRS1, YWHAB
c2_cp_PID_MYC_ACTIV_PATHWAY	MYC, BAX, TK1, SMAD3, TAF9, RUVBL2, HMGA1, NCL, DDX18, KAT5, ENO1, PFKM, CDC25A, E2F3, PRDX3, ODC1, PTMA, SNAI1, KAT2A, SERPINI1, HSP90AA1, MMP9, MAX, LIN28B, NPM1, NME1, TERT, RPL11, PIM1, TAF10, HSPD1, RUVBL1, BMI1, SLC2A1, TAF12, BIRC5, BCAT1, KIR3DL1, SUPT7L, TAF4B, LDHA, TRRAP, IREB2, TP53, CAD, MTDH, FOSL1, GPAM, SMAD4, GAPDH, HSPA4, SUPT3H, CDK4, EP300, POLR3D, SHMT1, CREBBP, CCND2, PEG10, ID2, EIF4G1, NBN, MYCT1, PDCD10, MINA, NDUFAF2, PMAIP1, HUWE1, ACTL6A, RCC1, NME2, CCNB1, CDCA7, UBTF, TFRC, EIF4A1, EIF4E, MTA1, EIF2S1
c2_cp_PID_MYC_PATHWAY	PPP2R5A, PAK2, SKP2, KAT2A, TRRAP, RUVBL1, TAF12, TAF10, KAT5, RUVBL2, PPP2CA, GSK3B, MYC, SUPT7L, TAF9, HBP1, AXIN1, PML, MAX, PIN1, SUPT3H, CDKN2A, ZBTB17, FBXW7, ACTL6A
c2_cp_PID_MYC_REPRESS_PATHWAY	NFYA, HDAC3, ITGA6, TJP2, SFRP1, ID2, TMEM126A, IRF8, SMAD2, ALDH9A1, SMAD3, SLC11A1, WNT5A, ERBB2, MYC, CEBPA, CCL5, CSDE1, FTH1, MAX, CLU, NDRG1, BCL2, ITGB4, DNMT3A, GTF2H2, DDIT3, TBP, COL1A2, HDAC1, MXD4, SMAD4, TMEFF2, CFLAR, ZFP36L1, HMGCS2, CEBPD, GADD45A, S100A7, RBL1, SFXN3, SPI1, CDKN1A, ITGB1, GFI1, NFYC, SP1, CDKN2B, EP300, CDKN1B, ZBTB17, CREB1, LGALS1, PPP2R4, DNTT, FOXO3, TSC2, BRCA1, NFYB, CCND1, NDRG2, DKK1, PDGFRB
c2_cp_PID_NCADHERIN_PATHWAY	DCTN1, PTPN1, PLCG1, CAMK2G, CDC42, CTNNA1, CDH2, RAC1, RHOA, PIK3R1, PIP5K1C, GAP43, PIK3CA, CTNND1, MAPK8, MAPRE1, GRIA2, LRP5, FGFR1, AXIN1, JUP, DAGLB, KIF5B, DAGLA, GJA1, MYL2, GSN, ROCK1, CTNNB1, CNR1, PTPN11, CTTN, FER
c2_cp_PID_NECTIN_PATHWAY	MLLT4, PTPRM, RAC1, CTNNA1, ITGAV, CLDN1, TLN1, RAP1A, RAP1B, RAPGEF1, PDGFB, PVRL1, F11R, PIP5K1C, VAV2, PVR, CDH1, PTK2, CTNNB1, PDGFRB, ITGB3, FARP2, PVRL2, PVRL3, PIK3R1, SRC, CDC42, PIK3CA, CRK, IQGAP1
c2_cp_PID_NEPHRIN_NEPH1_PATHWAY	AKT1, PIK3R1, KIRREL, NCK1, RAC1, TRPC6, PRKCI, NPHS1, PARD6A, PIK3CD, PIK3R3, FYN, NPHS2, MAP2K4, F2RL2, PIK3CB, WASL, GRB2, TJP1, BAD, JUN, NCK2, CD2AP, MAPK8, PIK3CA, ARRB2, PIK3R2, PLCG1, PRKCZ, MAPK10, MAPK9
c2_cp_PID_NETRIN_PATHWAY	NTN1, PTK2, WASL, CDC42, AGAP2, TRIO, PLCG1, FYN, NCK1, UNC5C, PAK1, BCAR1, UNC5B, MAPK3, PITPNA, YES1, RAC1, MYO10, CAMK2A, MAP2K2, PIK3R1, DCC, DOCK1, RHOA, PIK3CA, MAP1B, ELMO1, MAP2K1, DAPK1, MAPK1, UNC5A, SRC
c2_cp_PID_NFAT_3PATHWAY	PRKCE, PIM1, CHP, PRKCA, PRKCQ, MAPK14, NUP214, BAX, CREBBP, PPP3R1, YWHAG, YWHAH, SFN, CAMK4, PRKCZ, NR4A1, BCL2, RAN, YWHAZ, NFATC2, PRKACA, RCAN1, MAP3K1, NFATC1, KPNB1, MEF2D, MAPK3, YWHAE, MAP3K8, CASP3, CSNK1A1, AKAP5, CSNK2A1, PPP3CB, YWHAQ, PRKCG, PRKCB, FKBP8, NFATC3, YWHAB, MAPK9, BCL2L1, KPNA2, EP300, MAPK8, BAD, XPO1, RCAN2, PPP3CA, FKBP1A, CABIN1, PRKCD, GSK3B, PRKCH
c2_cp_PID_NFAT_TFPATHWAY	CREM, CTLA4, PTGS2, PRKCQ, CASP3, EGR1, IFNG, FOSL1, IL8, EGR2, PPARG, NFATC2, NFATC3, EGR3, TLE4, IL5, JUN, GBP3, IL4, POU2F1, TBX21, CDK4, FOS, CSF2, SLC3A2, IL2, NFATC1, IRF4, BATF3, FASLG, TNF, FOXP3, IL2RA, PTPRK, EGR4, DGKA, JUNB, E2F1, RNF128, IKZF1, IL3, PTPN1, MAF, GATA3, ITCH, CBLB, CD40LG
c2_cp_PID_NFKAPPAB_ATYPICAL_PATHWAY	PIK3CA, NFKB1, CSNK2B, SYK, CSNK2A1, PIK3R1, SSPO, MAPK14, LCK, NFKBIA, RELA, SRC, BCL3, IKBKB, ARRB2, REL, CSNK2A2
c2_cp_PID_NFKAPPAB_CANONICAL_PATHWAY	CYLD, UBE2D3, TNFAIP3, NFKBIA, XPO1, MALT1, BIRC2, TRAF6, NOD2, PRKCA, RELA, RAN, TNF, IKBKG, NFKB1, SSPO, IKBKB, RIPK2, BCL10, CHUK, ATM, ERC1, TNFRSF1A
c2_cp_PID_NOTCH_PATHWAY	NCOR1, NOTCH1, DTX1, FURIN, SSPO, DLL1, DNM1, PTCRA, RAB11A, NEURL, CTBP1, FBXW7, NUMB, CBL, MFAP2, MYCBP, DLL4, MAML1, SPEN, MYC, SKP2, CNTN6, NOTCH2, PSEN1, MAML2, YY1, GATA3, ENO1, ITCH, IL4, APH1B, LNX1, NCOR2, RBPJ, CDKN1A, JAG2, ADAM12, DLK1, EPS15, DNER, SKP1, NOTCH3, RBBP8, NOTCH4, JAG1, APH1A, DLL3, PSENEN, MFAP5, NCSTN, CCND1, EP300, HDAC1, MARK2, MIB1, ADAM10, CUL1, CNTN1, KDM1A
c2_cp_PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	PTGS2, MITF, KRT8, MEF2A, SLC9A1, ESR1, RPS6KA4, KRT19, MAPKAPK2, ATF2, MAPK11, JUN, GDI1, HSPB1, CEBPB, MAPKAPK5, ATF6, MAPK14, HBP1, CSNK2B, MKNK1, PLA2G4A, RPS6KA5, DDIT3, NOS2, EIF4E, EIF4EBP1, MAPKAPK3, ATF1, USF1, TP53, MEF2C, RAB5A, CSNK2A1, PPARGC1A, CREB1, CSNK2A2, ELK4
c2_cp_PID_P38_ALPHA_BETA_PATHWAY	LCK, PAK3, RAC1, HCK, PAK2, YES1, MAP2K3, FGR, DUSP10, RALB, LYN, CDC42, DUSP8, TAB1, SRC, DUSP16, CCM2, DUSP1, MAP2K6, MAPK14, PAK1, MAPK11, TRAF6, RALA, MAP3K3, BLK, FYN, MAP2K4, PRKG1, MAP3K12, RIPK1
c2_cp_PID_P38_GAMMA_DELTA_PATHWAY	MAP2K3, MAP2K6, STMN1, EEF2K, ZAK, CCND1, MAPK13, SNTA1, MAPT, MAPK12, PKN1
c2_cp_PID_P38_MK2_PATHWAY	SRF, YWHAB, HSPB1, MAPK11, YWHAQ, YWHAZ, LSP1, YWHAH, CDC25B, MAPKAPK3, TSC2, TH, YWHAE, MAPK14, RAF1, YWHAG, MAPKAPK2, CREB1, ETV1, SFN, TCF3
c2_cp_PID_P38_MKK3_6PATHWAY	TAOK1, GADD45B, TAB1, MAP3K5, MAP3K10, TXN, MAP3K3, MAP3K7, TAB2, MAP3K6, TRAF2, TRAF6, MAP2K6, MAP3K4, TAOK3, CCM2, MAPK11, MAP2K3, CAMK2B, RAC1, GADD45G, GADD45A, MAP3K1, MAPK14, ATM, TAOK2
c2_cp_PID_P53_DOWNSTREAM_PATHWAY	DDIT4, FDXR, TNFRSF10A, CCNK, DROSHA, JMY, SERPINB5, E2F3, IGFBP3, GPX1, ATF3, MAP4K4, BNIP3L, ZNF385A, TSC2, BCL2L14, FOXA1, BCL2, TP63, RNF144B, TP53, CASP1, MMP2, C12orf5, TP73, TNFRSF10D, PERP, SP1, BBC3, PRKAB1, TYRP1, CEBPZ, NFYB, E2F2, PYCARD, MLH1, PCNA, SMARCA4, BAK1, JUN, CARM1, VCAN, DUSP1, TAF9, RFWD2, RPS27L, SESN1, AFP, CSE1L, IRF5, PRDM1, NFYA, CCNG1, MDM2, CD82, MET, PTEN, PPM1J, STEAP3, TFDP1, CAV1, TAP1, POU4F1, CCNB1, CX3CL1, FAS, ARID3A, HGF, PML, DDX5, BDKRB2, TP53I3, HIC1, GADD45A, TGFA, APC, DGCR8, NFYC, SERPINE1, PRMT1, BTG2, SH2D1A, BAX, BCL2A1, TRIAP1, RB1, VDR, C13orf15, KAT2A, AIFM2, TRRAP, TNFRSF10B, EP300, HTT, NDRG1, MSH2, PPP1R13B, DDB2, CASP10, GDF15, PIDD, SPP1, LIF, TNFRSF10C, CASP6, EGFR, PLK3, TP53INP1, RRM2B, SCN3B, SNAI2, DKK1, CTSD, EPHA2, COL18A1, RCHY1, PCBP4, SFN, BCL2L2, E2F1, POU4F2, BCL6, BID, PMS2, S100A2, BCL2L1, DUSP5, CDKN1A, APAF1, CREBBP, TP53BP2, TADA2B, HDAC2, MCL1, EDN2, NLRC4, PMAIP1
c2_cp_PID_P53_REGULATION_PATHWAY	NEDD8, PPM1D, HIPK2, CHEK2, TP53, TP53AIP1, TRIM28, CCNG1, HUWE1, CSNK1E, SETD8, SKP2, ATM, CSE1L, CSNK1D, CSNK1A1, PPP2CA, CDK2, PIN1, CHEK1, SETD7, MDM4, KAT5, CCNA2, SMYD2, E4F1, EP300, PRMT5, KAT2B, PPP1R13L, CSNK1G1, RFWD2, KAT8, DAXX, DYRK2, TTC5, RPL5, RPL11, PRKCD, PPP2R4, MDM2, FBXO11, AKT1, CDKN2A, ATR, ABL1, CSNK1G2, GSK3B, CREBBP, RASSF1, MAPK14, MAPK9, RPL23, USP7, RCHY1, UBE2D1, CSNK1G3, YY1, MAPK8
c2_cp_PID_P73PATHWAY	TP53I3, ADA, FAS, PML, GRAMD4, D4S234E, PFDN5, WT1, EP300, PPAP2A, GATA1, YAP1, BIN1, GDF15, FBXO45, RCHY1, BAX, IL4R, MDM2, FLOT2, PLK3, CCNB1, S100A2, AFP, RNF43, MAPK11, TP73, KAT5, CDK6, SERPINE1, WWOX, BRCA2, CCNA2, GNB2L1, SIRT1, PIN1, BUB3, MYC, AEN, CDK1, MAPK14, DEDD, BBC3, CLCA2, JAG2, ABL1, PRKACB, CDK2, DCP1B, BCL2L11, PLK1, SFN, HEY2, JAK1, RELA, NDUFS2, ITCH, NEDD4L, PEA15, SP1, HAGH, TP53AIP1, RB1, NTRK1, RAD51, TP63, FASN, CHEK1, BAK1, IL1RAP, HSF1, UBE4B, SERPINA1, CCNE2, BUB1, FOXO3, TUBA1A, CDKN1A, CASP2
c2_cp_PID_P75_NTR_PATHWAY	PSENEN, BCL2L11, PRKACB, PIK3CA, ZNF274, NDNL2, BEX1, RHOC, PRKCZ, CASP3, IKBKG, APP, MAPK9, RHOA, E2F1, MAPK10, APH1A, NTRK1, MAPK8, PRKCI, ADAM17, XIAP, IKBKB, LINGO1, PIK3R1, NTF3, NCSTN, OMG, BIRC3, CASP6, FURIN, NTF4, AKT1, NGF, RHOB, IRAK1, SQSTM1, BAD, BDNF, PSEN1, NGFR, MMP3, MAG, MAGEH1, YWHAE, DIABLO, MYD88, CHUK, TP53, ARHGDIA, APAF1, NGFRAP1, CASP9, BIRC2, MMP7, MAGED1, CYCS, PLG, TRAF6, SHC1, RIPK2, RTN4, APH1B, PRDM4, SMPD2, RTN4R, RAC1, SORT1, NDN
c2_cp_PID_PDGFRA_PATHWAY	PIK3CA, CAV1, CRKL, GRB2, RAPGEF1, PIK3R1, ITGAV, JAK1, SHF, IFNG, PLCG1, FOS, PDGFRA, SHC1, SHB, CAV3, JUN, CSNK2A1, ELK1, SRF, SOS1, CRK
c2_cp_PID_PDGFRB_PATHWAY	SOS1, RAC1, BCAR1, ARPC4, MAPK1, HCK, FOS, PIK3R5, RAPGEF1, STAT5B, MYOCD, PAG1, WASF2, JUND, ARPC3, PPP2CA, FYN, MAPK10, YES1, GAB1, LRP1, DOK1, NCK2, BAIAP2, SLC9A3R1, ELK1, EPS8, PRKCA, PRKCD, CTTN, ARPC1B, DOCK4, ACTN4, PDGFRB, MAPK3, STAT1, VAV2, WASL, KRAS, LCK, ACTA2, YWHAQ, DNM2, ABI1, EIF2AK2, ARHGAP35, MAP2K2, ARAP1, JUN, CYFIP2, PIK3CA, RAB4A, PTPN11, RASA1, RAF1, PIN1, PIK3CG, SPHK1, ITGAV, ARPC5, PTPN1, PTPN2, PLCG1, PIK3R6, FGR, PIK3CB, ARHGDIA, YWHAH, PPP2R1A, PAK1, CRK, BRAF, MYC, SFN, YWHAE, SHC1, SRF, NCKAP1, MLLT4, PRKCE, JAK2, S1PR1, NCK1, PTPRJ, BRK1, ACTR3, YWHAG, PTEN, NRAS, PPP2R2B, CSK, ACTR2, BLK, MAPK8, RPS6KA3, TAGLN, HRAS, ARPC2, YWHAZ, SIPA1, CBL, STAT3, GRB2, ITGB3, PDGFB, KSR1, PIK3R3, STAT5A, MAPK9, GRB10, SLA, RAP1B, SLC9A3R2, MAP2K7, MAP2K4, RHOA, MAP2K1, ABL1, LYN, SRC, RAP1A, PLA2G4A, YWHAB, USP6NL, PIK3R1, PIK3CD, RAB5A, IQGAP1, PIK3R2
c2_cp_PID_PI3K_PLC_TRK_PATHWAY	PDPK1, BAD, YWHAH, EGR1, YWHAB, PIK3R1, PRKCD, FOXO3, GRB2, PLCG1, AGAP2, TRPV1, SHC1, SRC, KRAS, GAB1, YWHAG, GSK3B, PIK3CA, CCND1, AKT1, YWHAE, NTRK1, CREB1, SOS1, NGF, CAMK2A, TRPC3, YWHAQ, SFN, YWHAZ, CAMK4, HRAS, NRAS, STAT5A, EPB41L1
c2_cp_PID_PI3KCI_AKT_PATHWAY	BCL2L1, GSK3A, MAPKAP1, RICTOR, TBC1D4, RAF1, CASP9, HSP90AA1, MAP3K5, FOXO3, AKT3, PRKDC, YWHAQ, YWHAH, MTOR, FOXO1, YWHAG, CDKN1A, SFN, YWHAE, PDPK1, CHUK, PRKACA, BAD, KPNA1, YWHAZ, CDKN1B, YWHAB, AKT1, AKT2, GSK3B, SRC, MLST8, FOXO4, SLC2A4
c2_cp_PID_PI3KCI_PATHWAY	KRAS, CYTH1, ARF1, PLEKHA1, BLNK, YES1, LCK, DAPP1, PIK3CB, PIK3R6, PLCG2, FYN, LAT, PLEKHA2, RAP1A, BLK, PTEN, SYK, HCK, PIK3CA, SGK1, ARF5, ITK, HRAS, CYTH3, ARF6, RAC1, PIK3CG, SRC, PIK3R1, HSP90AA1, RHOA, INPP5D, ARAP3, PIK3R2, ZAP70, PLCG1, INPPL1, FGR, CYTH2, PIK3CD, PIK3R5, BTK, PDPK1, LYN, FOXO3, NRAS, PIK3R3, ADAP1
c2_cp_PID_PLK1_PATHWAY	CENPE, ROCK2, PLK1, CDC25C, SPC24, BUB1B, FBXW11, KIF2A, RHOA, PPP2R1A, ERCC6L, CDK1, CLSPN, NUDC, AURKA, ODF2, CDC25B, FBXO5, GOLGA2, CCNB1, NDC80, KIF20A, FZR1, SSPO, PPP1CB, PPP2CA, PLK1S1, INCENP, TUBG1, MLF1IP, ECT2, TPT1, WEE1, NINL, PPP1R12A, SGOL1, PAK1, CDC20, BORA, TPX2, GORASP1, STAG2, PRC1, CDC14B, RAB1A, BUB1
c2_cp_PID_PRL_SIGNALING_EVENTS_PATHWAY	ITGA1, RABGGTA, CCNE1, MAPK3, RABGGTB, CDK2, TUBA1B, RHOC, ATF5, PTP4A2, ROCK1, SRC, BCAR1, EGR1, RHOA, ITGB1, PTP4A3, MAPK1, PTP4A1, CCNA2, CDKN1A, RAC1, AGT
c2_cp_PID_PS1_PATHWAY	TLE1, DKK1, PPP2R5D, APH1A, JUN, DLL1, KREMEN2, SSPO, HNF1A, AES, FBXW11, DTX1, CSNK1A1, LRP6, MAP3K7, PSEN1, CTNNB1, NCSTN, WNT1, NOTCH1, DKK2, NKD1, NEDD4, FRAT1, MAPK3, MYC, FZD1, DVL1, AXIN1, FOS, TAB1, APH1B, PSENEN, CSNK2A1, WIF1, PPARD, ADAM10, RBPJ, GSK3B, CTBP1, MAPK1, CREBBP, CCND1, NLK, HDAC1, APC
c2_cp_PID_PTP1B_PATHWAY	LEPR, PDGFRB, TXN, SPRY2, ITGA2B, SRC, INS, DOK1, STAT3, RHOA, CAV1, CRK, CSN2, JAK2, CAPN1, STAT5B, FER, PTPN1, AKT1, LEP, TYK2, LYN, LAT, YBX1, CSF1R, STAT5A, PDGFB, ITGB3, TRPV6, PIK3R1, SOCS3, BCAR1, CDH2, YES1, INSR, BLK, CSF1, EGF, HCK, NOX4, PRL, PRLR, SHC1, CSK, GRB2, FCGR2A, IRS1, FGR, FYN, LCK, PIK3CA, EGFR
